,titulo,url,precios
0,"Notebook Acer Aspire 5 A514-54 dorada 14"", Intel Core i5 1135G7  8GB de RAM 256GB SSD, Intel Iris Xe Graphics G7 80EUs 60 Hz 1920x1080px Windows 10 Home",https://www.mercadolibre.com.ar/notebook-acer-aspire-5-a514-54-dorada-14-intel-core-i5-1135g7-8gb-de-ram-256gb-ssd-intel-iris-xe-graphics-g7-80eus-60-hz-1920x1080px-windows-10-home/p/MLA18584529?pdp_filters=category:MLA1652#searchVariation=MLA18584529&position=1&search_layout=stack&type=product&tracking_id=a7d8c980-4b5c-4b0c-9c6e-35b017066120,132999 pesos
1,"Notebook Dell Inspiron 3511 15,6 I3 8gb 256ssd W11 Office365",https://articulo.mercadolibre.com.ar/MLA-1169087708-notebook-dell-inspiron-3511-156-i3-8gb-256ssd-w11-office365-_JM?searchVariation=175253996590#searchVariation=175253996590&position=55&search_layout=stack&type=item&tracking_id=a7d8c980-4b5c-4b0c-9c6e-35b017066120,123499 pesos
2,"Notebook Dell Inspiron 3515 plateada 15.5"", AMD Ryzen 5 3450U  8GB de RAM 256GB SSD, AMD Radeon RX Vega 8 (Ryzen 2000/3000) 1366x768px Windows 11 Home",https://www.mercadolibre.com.ar/notebook-dell-inspiron-3515-plateada-155-amd-ryzen-5-3450u-8gb-de-ram-256gb-ssd-amd-radeon-rx-vega-8-ryzen-20003000-1366x768px-windows-11-home/p/MLA19034498?pdp_filters=category:MLA1652#searchVariation=MLA19034498&position=2&search_layout=stack&type=product&tracking_id=a7d8c980-4b5c-4b0c-9c6e-35b017066120,149999 pesos
3,"Notebook Lenovo IdeaPad 14IIL05  platinum gray 14"", Intel Core i5 1035G1  8GB de RAM 512GB SSD, Intel UHD Graphics G1 1920x1080px Windows 10 Home",https://www.mercadolibre.com.ar/notebook-lenovo-ideapad-14iil05-platinum-gray-14-intel-core-i5-1035g1-8gb-de-ram-512gb-ssd-intel-uhd-graphics-g1-1920x1080px-windows-10-home/p/MLA17796660?pdp_filters=category:MLA1652#searchVariation=MLA17796660&position=3&search_layout=stack&type=product&tracking_id=a7d8c980-4b5c-4b0c-9c6e-35b017066120,154243 pesos
4,"Notebook Kelyx Kl3350 Gris 14 , Intel Celeron N3350 4gb De Ram 64gb Ssd, Intel Hd Graphics 1920x1080px Windows 10 Home",https://www.mercadolibre.com.ar/notebook-kelyx-kl3350-gris-14-intel-celeron-n3350-4gb-de-ram-64gb-ssd-intel-hd-graphics-1920x1080px-windows-10-home/p/MLA19525749?pdp_filters=category:MLA1652#searchVariation=MLA19525749&position=4&search_layout=stack&type=product&tracking_id=a7d8c980-4b5c-4b0c-9c6e-35b017066120,44999 pesos
5,"Notebook HP 15-ef2126wm spruce blue 15.6"", AMD Ryzen 5 5500U  8GB de RAM 256GB SSD, AMD Radeon RX Vega 7 1920x1080px Windows 10 Home",https://www.mercadolibre.com.ar/notebook-hp-15-ef2126wm-spruce-blue-156-amd-ryzen-5-5500u-8gb-de-ram-256gb-ssd-amd-radeon-rx-vega-7-1920x1080px-windows-10-home/p/MLA18717712?pdp_filters=category:MLA1652#searchVariation=MLA18717712&position=5&search_layout=stack&type=product&tracking_id=a7d8c980-4b5c-4b0c-9c6e-35b017066120,146999 pesos
6,"Notebook HP 14-cf2531la negra 14"", Intel Celeron N4020  4GB de RAM 128GB SSD, Intel UHD Graphics 600 1366x768px Windows 11 Home",https://www.mercadolibre.com.ar/notebook-hp-14-cf2531la-negra-14-intel-celeron-n4020-4gb-de-ram-128gb-ssd-intel-uhd-graphics-600-1366x768px-windows-11-home/p/MLA19156449?pdp_filters=category:MLA1652#searchVariation=MLA19156449&position=6&search_layout=stack&type=product&tracking_id=a7d8c980-4b5c-4b0c-9c6e-35b017066120,79999 pesos
7,"Notebook Bangho 15,6 Core I7 8gb 480gb Ssd Bes T5 I7 Win Pro",https://click1.mercadolibre.com.ar/mclics/clicks/external/MLA/count?a=5oHcmAjK%2BMX9Hx8QsBUj1xNLwMhMq2T5Cy%2F8hZJC%2FSQhmrWXTAT79FpHecBWdfbi6fwOj45D%2B1bqx8FepfJRWYODUuHejN8HABhNIgU3B%2FcVJ0p2iKZf1TE%2Fh5vx%2BW%2B4qXF5e7IbvIpRHWDP3%2Fu%2BBzHSBldiS3LZSxOHZAR4PcjnuU34QpscDWKJJK4tVQEwquLEkvs0bulYvg%2FRed8XsFMk%2BsIqqVBlkeJ6cjq%2B69eyW8mkbbrrk0eYySWzTNxOmBVPG%2BwjjhGBKWnOEOMYQST1E%2B1DxVJojR5LqiQRnQCFk6toxouaC1hc0VRRatkzlNVOoQrJGx4b76KWLt2QV%2FVmR9nZJMihGoDBG7L6dl1cJSPlIESVjewQq1aFyUwIBltsjUnDJqGAxJ5DFTKwokBlHEIRrAWA%2FM9rXTAwdLE3%2Bow64PGyVQ2wYJwoPuOpBxbsR5IN9gyLED3SwtymqRcyIwyhp0%2BMsngCzuF44enKjiG6YtM1VUoALYALZBrn31u8VZwN3AcWlWSlUW2nEKpN94xKBiccSveclheZnkDvngASflLvqndYAEBgup1KyH6BavBt%2FeuzFnz4k0vpzpPJgxVmI%2FYHF%2F9j2STGIUYHqSdhdBPKSxpi%2FDr0ZXI7Tlcy8rP3hT%2BFf%2FxPofb%2BTZJIccC7rO%2FV4XoHWD8k%2F05d9fISpBpvBFGr3ezkIt3fU7SmF3NfKPzxVMthsMbaUeDd%2BHG4S6CkIZOW55DOVTreM%2BHLVyMIDFuP%2F3959FOzJ1UnaEDkhOBQmeMK76K3hiGACMoMDwTTbLINeBSviQ%3D%3D&rb=x,296999 pesos
8,"Notebook Banghó Max L5 15,6 Core I7 8gb 480gb Win 11 +office",https://click1.mercadolibre.com.ar/mclics/clicks/external/MLA/count?a=%2FSMUyKrzfLBqNGtSSAxgxEYZrtxmFodHNev89XQU3J41Kpd8bXqVe5DQquPPP%2Fk8dSAjMzlVY1Pyjzi9%2BCpbq6fWvJ94ZW9bymjFdmTKiT1kmyKVzEcs3E6jC5Nn3NYpjMhjSR0eFf8w3y6uyQscOP9ghgWR2obB0icsebNfbc8sreHMJtRpYSJAfzTqQAK4qLhe2C9TthP0PDhPImouMAnHyHcTdtdXOwtTlUxEde4oh4RxG0LD9s4eQ4MRGNOShZ396G3rcHfEdgBH8Pa%2BlxSS8K%2F7a9JL2i7a1jPhmeLH3c8Bztcbc9wKeAfZ8V48yP06wY2dmBRM0J5ThJ2p1LyI5TFDEb%2FAq%2BhmTzz33fdpBD8AWzZvMHqDeTzPf0tf6fO7RUFAXtnQ1R8pu2%2BG6FYB28kl6UkDGRqlEg86lhovYtsng0wzCS6LD192tQfPpYsme9PPs5Y4rMfPJ2VX%2BK9yDXWJwpEu3eAx518KyA%2FEn0rh6MbCsOXQYDcGyOiZktJljZljZi1LpuoyRe4Sx2jY%2B0AnYjC7S8Sxb9o8eK2%2Bi1mT%2BOAaIT48O%2Fqa2M27cT%2FaD6HqHqlwJrcPfhx%2F4W5T2%2Bhf1rQDoF50FTlAU%2BKO3i2PZyPXCZFf4bxiZNtmWoVsCePojX8PAslr%2BaaWASbb7fzzdgCjT4Dr6y4ujHyvsyKBAKvRCeMtjit6nXejfMj3X0aA2Vc45SvRmQVsKzmeaUYHWCIJPyaubn8UR81JoR7jiZsOw8OeMxUpeJ3FK6BXGpjx3FihdhwVN%2Bj5Kb16z8VLeYM%2Bg%2FO7PhylDw%3D%3D&rb=x,260999 pesos
9,"Notebook Dell Inspiron 3515 azul 15.5"", AMD Ryzen 7 3700U  8GB de RAM 512GB SSD, AMD Radeon RX Vega 10 60 Hz 1920x1080px Windows 11 Home",https://www.mercadolibre.com.ar/notebook-dell-inspiron-3515-azul-155-amd-ryzen-7-3700u-8gb-de-ram-512gb-ssd-amd-radeon-rx-vega-10-60-hz-1920x1080px-windows-11-home/p/MLA19471951?pdp_filters=category:MLA1652#searchVariation=MLA19471951&position=7&search_layout=stack&type=product&tracking_id=a7d8c980-4b5c-4b0c-9c6e-35b017066120,159999 pesos
10,"Notebook EXO Smart XQ3H-S3182 plateada 15.6"", Intel Core i3 1115G4  8GB de RAM 256GB SSD, Intel UHD Graphics Xe G4 48EUs 1920x1080px Windows 11 Home",https://www.mercadolibre.com.ar/notebook-exo-smart-xq3h-s3182-plateada-156-intel-core-i3-1115g4-8gb-de-ram-256gb-ssd-intel-uhd-graphics-xe-g4-48eus-1920x1080px-windows-11-home/p/MLA18997588?pdp_filters=category:MLA1652#searchVariation=MLA18997588&position=10&search_layout=stack&type=product&tracking_id=a7d8c980-4b5c-4b0c-9c6e-35b017066120,156999 pesos
11,"Notebook HP Pavilion 15-eh0004la plata natural 15.6"", AMD Ryzen 3 4300U  8GB de RAM 256GB SSD, AMD Radeon RX Vega 5 1366x768px Windows 10 Home",https://www.mercadolibre.com.ar/notebook-hp-pavilion-15-eh0004la-plata-natural-156-amd-ryzen-3-4300u-8gb-de-ram-256gb-ssd-amd-radeon-rx-vega-5-1366x768px-windows-10-home/p/MLA19048705?pdp_filters=category:MLA1652#searchVariation=MLA19048705&position=11&search_layout=stack&type=product&tracking_id=a7d8c980-4b5c-4b0c-9c6e-35b017066120,123999 pesos
12,"Notebook EXO Smart T33 gris 14"", Intel Celeron N4020  4GB de RAM 64GB SSD, Intel UHD Graphics 600 1366x768px Windows 11",https://www.mercadolibre.com.ar/notebook-exo-smart-t33-gris-14-intel-celeron-n4020-4gb-de-ram-64gb-ssd-intel-uhd-graphics-600-1366x768px-windows-11/p/MLA19535438?pdp_filters=category:MLA1652#searchVariation=MLA19535438&position=12&search_layout=stack&type=product&tracking_id=a7d8c980-4b5c-4b0c-9c6e-35b017066120,77999 pesos
13,"Notebook Lenovo IdeaPad 15ALC6  arctic gray 15.6"", AMD Ryzen 5 5500U  8GB de RAM 256GB SSD, AMD Radeon RX Vega 7 1920x1080px Windows 10 Home",https://www.mercadolibre.com.ar/notebook-lenovo-ideapad-15alc6-arctic-gray-156-amd-ryzen-5-5500u-8gb-de-ram-256gb-ssd-amd-radeon-rx-vega-7-1920x1080px-windows-10-home/p/MLA18518417?pdp_filters=category:MLA1652#searchVariation=MLA18518417&position=13&search_layout=stack&type=product&tracking_id=a7d8c980-4b5c-4b0c-9c6e-35b017066120,139999 pesos
14,"Notebook EXO Smart L33E gris 14"", Intel Celeron N4020  4GB de RAM 64GB SSD, Intel UHD Graphics 600 1366x768px Windows 10 Home",https://www.mercadolibre.com.ar/notebook-exo-smart-l33e-gris-14-intel-celeron-n4020-4gb-de-ram-64gb-ssd-intel-uhd-graphics-600-1366x768px-windows-10-home/p/MLA18330430?pdp_filters=category:MLA1652#searchVariation=MLA18330430&position=14&search_layout=stack&type=product&tracking_id=a7d8c980-4b5c-4b0c-9c6e-35b017066120,65864 pesos
15,"Notebook HP 14-dq2029la plata natural 14"", Intel Core i5 1135G7  8GB de RAM 256GB SSD, Intel Iris Xe Graphics G7 80EUs 1366x768px Windows 10 Home",https://www.mercadolibre.com.ar/notebook-hp-14-dq2029la-plata-natural-14-intel-core-i5-1135g7-8gb-de-ram-256gb-ssd-intel-iris-xe-graphics-g7-80eus-1366x768px-windows-10-home/p/MLA18953578?pdp_filters=category:MLA1652#searchVariation=MLA18953578&position=15&search_layout=stack&type=product&tracking_id=a7d8c980-4b5c-4b0c-9c6e-35b017066120,152999 pesos
16,"Apple Macbook Air (13 pulgadas, 2020, Chip M1, 256 GB de SSD, 8 GB de RAM) - Gris espacial",https://www.mercadolibre.com.ar/apple-macbook-air-13-pulgadas-2020-chip-m1-256-gb-de-ssd-8-gb-de-ram-gris-espacial/p/MLA17828518?pdp_filters=category:MLA1652#searchVariation=MLA17828518&position=16&search_layout=stack&type=product&tracking_id=a7d8c980-4b5c-4b0c-9c6e-35b017066120,296999 pesos
17,"Notebook gamer Asus Rog Strix G15 G513RM eclipse gray 15.6"", AMD Ryzen 7 6800H  16GB de RAM 512GB SSD, Nvidia RTX 3060 165 Hz 2560x1440px Windows 11 Home",https://www.mercadolibre.com.ar/notebook-gamer-asus-rog-strix-g15-g513rm-eclipse-gray-156-amd-ryzen-7-6800h-16gb-de-ram-512gb-ssd-nvidia-rtx-3060-165-hz-2560x1440px-windows-11-home/p/MLA19580308?pdp_filters=category:MLA1652#searchVariation=MLA19580308&position=17&search_layout=stack&type=product&tracking_id=a7d8c980-4b5c-4b0c-9c6e-35b017066120,449999 pesos
18,Notebook Banghó Max L5 I3 15.6  Core I3 8gb 240gb Ssd Win 11,https://click1.mercadolibre.com.ar/mclics/clicks/external/MLA/count?a=ufelipJWesiQNb%2BSip0%2BfHlhIyHuuQ1bm67Fxy8T4HHklRY9lHakuwy%2FEWfHrpKP5ds9HmkdpuDBpz0a2A%2BGMrTH529fAnjNt1JSH0Yi9so2CZOzdx5PCQw8C1wXikQS6BQPg2Tv%2BRYWGRng6muZzFqgmZhuJvTZBqOwOXy5z0QEH6Pa9vXLc7%2B04nVSZ2BNNY4Qb%2FFyi2lJIZcRlxMtYyovMJp08UaI5r%2BGXQKGc4BMtLV1zh3G9jLVSWfTNCQpb59TXeEsOdHJLPk9pU9J8OJ4kaGgMd8eATNBT3LHcy8wjcOJq6Wbwr1tbfLHs%2B1Ux5WvO42v2y1D7Ti3kSOKAS1IRWualMIInrkRT7Eb5u7fK%2ByIiMS9pgK%2FktawGuZtCBb8v3Wa%2Brc8n%2B45GqUGR95MZOxBCo4wm7gSyTSwG1IsskJxvBCZCMbFNoQNdkWOJ%2BH1zaOpojyZPe5DZZQ4d%2BP3tXmzSl%2FVEpLwKGM6faHckeR64P10EWBgfrD%2FelcJ6hkARuDQtt3hX3%2FXdWTWuD72LAXwUsla9dUGzy4tbRirzmMx1KgpKuhRr52wfzqMsvLYtAI%2F00IL9YIFm%2FFwQQiFWctjROXMN8oIothbBuuHQu6KPx33cbf%2B7FmqPkXypwz7PZ0UGqj5AmOMIx0VLltwKVsdF%2Bda9d7K%2BTC19GGg2H01c0UTdH0IJlBqYbeBGCD%2BAVwz6luJjMBEXmkYQBevMce5QVEiyQC%2Bq88PQN1UZCTyx5BJ9C97oOjFfh647Ks%2F1LHG6NQvNES5wuWCF361XY2HdDt4TxsHZOENELaJUBw%3D&rb=x,155699 pesos
